assessmentYear,Critically Endangered,Data Deficient,Endangered,Extinct,Least Concern,Near Threatened,Vulnerable
2004,0,0,1,0,0,0,0
2005,0,0,0,0,3,0,0
2006,0,0,0,0,2,0,0
2007,0,27,0,0,281,0,2
2008,1,6,0,0,117,2,6
2009,0,7,0,0,98,0,2
2010,0,6,1,0,69,0,4
2011,0,12,0,0,210,3,6
2012,6,5,18,0,321,8,13
2013,2,6,0,0,201,0,2
2014,0,12,1,0,118,3,0
2015,0,12,0,0,106,4,5
2016,2,10,1,0,205,8,8
2017,0,4,5,0,55,3,5
2018,5,6,15,0,994,19,8
2019,40,8,33,2,423,19,27
2020,23,13,46,0,639,31,41
2021,21,3,19,0,192,34,27
2022,4,0,5,0,155,10,7
2023,0,0,14,0,63,10,7
2024,0,0,2,0,32,10,7
